"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","length.ratio"
6.3,2.5,4.9,1.5,"versicolor",1.28571428571429
6.1,2.8,4.7,1.2,"versicolor",1.29787234042553
6.4,2.9,4.3,1.3,"versicolor",1.48837209302326
6.6,3,4.4,1.4,"versicolor",1.5
6.8,2.8,4.8,1.4,"versicolor",1.41666666666667
6.7,3,5,1.7,"versicolor",1.34
6,2.9,4.5,1.5,"versicolor",1.33333333333333
5.7,2.6,3.5,1,"versicolor",1.62857142857143
5.5,2.4,3.8,1.1,"versicolor",1.44736842105263
5.5,2.4,3.7,1,"versicolor",1.48648648648649
5.8,2.7,3.9,1.2,"versicolor",1.48717948717949
6,2.7,5.1,1.6,"versicolor",1.17647058823529
5.4,3,4.5,1.5,"versicolor",1.2
6,3.4,4.5,1.6,"versicolor",1.33333333333333
6.7,3.1,4.7,1.5,"versicolor",1.42553191489362
6.3,2.3,4.4,1.3,"versicolor",1.43181818181818
5.6,3,4.1,1.3,"versicolor",1.36585365853659
5.5,2.5,4,1.3,"versicolor",1.375
5.5,2.6,4.4,1.2,"versicolor",1.25
6.1,3,4.6,1.4,"versicolor",1.32608695652174
5.8,2.6,4,1.2,"versicolor",1.45
5,2.3,3.3,1,"versicolor",1.51515151515152
5.6,2.7,4.2,1.3,"versicolor",1.33333333333333
5.7,3,4.2,1.2,"versicolor",1.35714285714286
5.7,2.9,4.2,1.3,"versicolor",1.35714285714286
6.2,2.9,4.3,1.3,"versicolor",1.44186046511628
5.1,2.5,3,1.1,"versicolor",1.7
5.7,2.8,4.1,1.3,"versicolor",1.39024390243902
6.3,3.3,6,2.5,"virginica",1.05
5.8,2.7,5.1,1.9,"virginica",1.13725490196078
7.1,3,5.9,2.1,"virginica",1.20338983050847
6.3,2.9,5.6,1.8,"virginica",1.125
6.5,3,5.8,2.2,"virginica",1.12068965517241
7.6,3,6.6,2.1,"virginica",1.15151515151515
4.9,2.5,4.5,1.7,"virginica",1.08888888888889
7.3,2.9,6.3,1.8,"virginica",1.15873015873016
6.7,2.5,5.8,1.8,"virginica",1.1551724137931
7.2,3.6,6.1,2.5,"virginica",1.18032786885246
6.5,3.2,5.1,2,"virginica",1.27450980392157
6.4,2.7,5.3,1.9,"virginica",1.20754716981132
6.8,3,5.5,2.1,"virginica",1.23636363636364
5.7,2.5,5,2,"virginica",1.14
5.8,2.8,5.1,2.4,"virginica",1.13725490196078
6.4,3.2,5.3,2.3,"virginica",1.20754716981132
6.5,3,5.5,1.8,"virginica",1.18181818181818
7.7,3.8,6.7,2.2,"virginica",1.14925373134328
7.7,2.6,6.9,2.3,"virginica",1.11594202898551
6,2.2,5,1.5,"virginica",1.2
6.9,3.2,5.7,2.3,"virginica",1.21052631578947
5.6,2.8,4.9,2,"virginica",1.14285714285714
7.7,2.8,6.7,2,"virginica",1.14925373134328
6.3,2.7,4.9,1.8,"virginica",1.28571428571429
6.7,3.3,5.7,2.1,"virginica",1.17543859649123
7.2,3.2,6,1.8,"virginica",1.2
6.2,2.8,4.8,1.8,"virginica",1.29166666666667
6.1,3,4.9,1.8,"virginica",1.24489795918367
6.4,2.8,5.6,2.1,"virginica",1.14285714285714
7.2,3,5.8,1.6,"virginica",1.24137931034483
7.4,2.8,6.1,1.9,"virginica",1.21311475409836
7.9,3.8,6.4,2,"virginica",1.234375
6.4,2.8,5.6,2.2,"virginica",1.14285714285714
6.3,2.8,5.1,1.5,"virginica",1.23529411764706
6.1,2.6,5.6,1.4,"virginica",1.08928571428571
7.7,3,6.1,2.3,"virginica",1.26229508196721
6.3,3.4,5.6,2.4,"virginica",1.125
6.4,3.1,5.5,1.8,"virginica",1.16363636363636
6,3,4.8,1.8,"virginica",1.25
6.9,3.1,5.4,2.1,"virginica",1.27777777777778
6.7,3.1,5.6,2.4,"virginica",1.19642857142857
6.9,3.1,5.1,2.3,"virginica",1.35294117647059
5.8,2.7,5.1,1.9,"virginica",1.13725490196078
6.8,3.2,5.9,2.3,"virginica",1.15254237288136
6.7,3.3,5.7,2.5,"virginica",1.17543859649123
6.7,3,5.2,2.3,"virginica",1.28846153846154
6.3,2.5,5,1.9,"virginica",1.26
6.5,3,5.2,2,"virginica",1.25
6.2,3.4,5.4,2.3,"virginica",1.14814814814815
5.9,3,5.1,1.8,"virginica",1.15686274509804
